Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-1806.77	-2089.762	282.9927	0.562939	0.192711	0.208188	0.0361622	1.101561	1.306348	3.157409	1.356641
6	-1805.484	-2087.952	282.4682	0.571141	0.195518	0.213908	0.0194324	1.101561	1.326879	3.333545	1.593663
12	-1796.701	-2079.069	282.3676	0.404253	0.37624	0.184562	0.0349447	1.58135	1.415361	3.141043	1.480394
18	-1800.556	-2082.721	282.1647	0.498501	0.230816	0.227591	0.0430918	1.054573	1.238009	3.645812	1.480394
24	-1788.463	-2069.956	281.4935	0.597284	0.232006	0.0705052	0.100204	1.025215	1.283791	4.042099	1.440376
30	-1802.011	-2082.057	280.0466	0.588621	0.185816	0.145308	0.0802545	1.614365	1.13562	4.680573	1.359142
36	-1789.665	-2069.705	280.0396	0.534249	0.32663	0.0662805	0.0728411	1.489066	1.101913	4.762897	1.359142
42	-1788.488	-2069.503	281.0148	0.571386	0.322312	0.0426397	0.0636622	1.335972	1.266028	4.122184	1.510507
48	-1809.76	-2088.064	278.3046	0.486894	0.389171	0.0590427	0.0648923	1.022883	1.127425	5.762849	1.750927
54	-1816.237	-2096.085	279.8474	0.511776	0.325368	0.0836405	0.0792158	1.640389	1.282442	4.611728	1.53449
60	-1796.522	-2076.433	279.9105	0.582228	0.286285	0.0635372	0.0679501	1.490016	1.184013	4.836411	1.26537
66	-1818.608	-2099.913	281.3054	0.378825	0.322617	0.255015	0.0435428	0.9334814	1.15046	4.339685	1.316798
72	-1834.199	-2113.351	279.152	0.360774	0.307244	0.242863	0.0891194	1.376496	1.09528	5.087408	1.848407
78	-1828.626	-2109.835	281.2087	0.445344	0.318577	0.136372	0.0997077	1.244167	1.226661	4.229245	1.222329
84	-1815.333	-2098.318	282.9848	0.522181	0.238979	0.147643	0.0911966	0.9812257	1.330461	3.141599	1.503496
90	-1819.873	-2102.588	282.7147	0.523631	0.265844	0.205235	0.0052908	2.102491	1.534123	2.698873	1.32057
96	-1815.622	-2098.421	282.7985	0.523631	0.265844	0.205235	0.0052908	1.438708	1.396625	2.944713	1.525208
102	-1829.303	-2113.037	283.7344	0.637281	0.106501	0.249779	0.00643912	1.273113	1.514294	2.270183	1.747629
108	-1827.661	-2110.351	282.69	0.703862	0.2472	0.0419377	0.0070001	1.286931	1.390619	3.12593	1.465184
114	-1815.342	-2092.777	277.4347	0.681095	0.152219	0.0427298	0.123956	1.529306	1.211117	4.979861	4.694228
120	-1799.879	-2078.775	278.896	0.693831	0.0987291	0.147081	0.0603586	1.529306	1.026376	4.979861	2.37502
126	-1799.718	-2077.806	278.088	0.625216	0.164342	0.16613	0.0443113	1.435294	1.006066	5.093763	3.535748
132	-1793.518	-2075.339	281.8208	0.613583	0.0899244	0.245909	0.0505838	1.399824	1.33204	2.776621	3.535748
138	-1797.682	-2078.77	281.0887	0.642397	0.257794	0.0586165	0.0411931	1.185414	1.57453	3.482591	2.686067
144	-1803.153	-2083.762	280.6094	0.694845	0.177175	0.0634023	0.0645776	1.718891	1.082979	3.774617	2.685941
150	-1804.051	-2084.47	280.4193	0.649201	0.165537	0.0592374	0.126025	0.8859827	0.923571	4.408888	2.685941
156	-1802.845	-2082.812	279.9669	0.540838	0.279827	0.0880745	0.0912605	1.359254	0.9153492	4.849131	1.612126
162	-1796.143	-2076.563	280.4195	0.392304	0.384757	0.110759	0.11218	1.140079	0.8234283	4.726745	1.687457
168	-1793.642	-2076.296	282.6541	0.566212	0.330372	0.00709251	0.0963232	0.8798355	1.106785	3.499048	1.562588
174	-1798.088	-2079.404	281.3156	0.492206	0.287191	0.00616549	0.214438	1.025444	1.443101	3.992386	1.562588
180	-1790.367	-2071.954	281.5866	0.458185	0.456684	0.0194234	0.0657082	1.080016	1.179674	4.085815	1.306752
186	-1800.524	-2082.412	281.8879	0.405145	0.407321	0.123858	0.0636757	1.250214	1.294552	3.529872	1.759396
192	-1800.085	-2079.1	279.0148	0.675586	0.199856	0.0774744	0.0470833	1.466269	1.236053	5.160201	1.584387
198	-1813.461	-2094.026	280.5652	0.542012	0.335193	0.0589498	0.0638452	2.382946	1.354425	3.853692	1.521472
204	-1797.116	-2078.485	281.3695	0.434746	0.433831	0.061066	0.0703564	1.801582	1.289764	3.75787	1.355408
210	-1802.343	-2082.118	279.7747	0.443851	0.442917	0.0414022	0.0718299	1.057524	1.032983	4.83173	2.111729
216	-1802.929	-2083.667	280.7385	0.535256	0.336016	0.0470681	0.0816599	0.979483	0.9455731	4.73687	1.337109
222	-1795.786	-2077.69	281.9046	0.492748	0.357695	0.0501048	0.0994525	1.305664	1.180952	3.769183	1.328605
228	-1812.433	-2093.429	280.9953	0.64269	0.169206	0.0906911	0.0974131	2.057496	1.186361	3.437599	2.426024
234	-1810.751	-2090.903	280.152	0.641264	0.0556375	0.294538	0.00856107	1.512433	1.070704	4.617328	1.54041
240	-1812.505	-2090.764	278.259	0.388634	0.30688	0.298469	0.00601757	2.05396	0.9007345	5.632528	1.313125
246	-1803.534	-2083.249	279.7146	0.382477	0.383792	0.178682	0.0550493	1.717134	1.07629	5.063977	0.9599056
252	-1813.656	-2094.051	280.395	0.400014	0.401389	0.141023	0.0575734	1.02397	0.9010649	4.933956	1.326275
258	-1814.196	-2093.421	279.2248	0.513928	0.251101	0.181183	0.0537877	1.324986	1.270411	4.933956	1.945329
